"order_id","customer_id","customer_name","brand_name","category_name","product_name","model_year","quantity","list_price","revenue","discount","profit","order_date","required_date","shipped_date","sales_name","manager_name","store_name","city","shipping_status","dup_row","cust_city"
643,901,"Lonna Franks","Surly","Road Bikes","Surly Ogre Frameset - 2017",2017,1,"749.99","749.99","0.05","712.4905","2017-01-08","2017-01-09","2017-01-11","Genna Serrano","Mireya Copeland","Santa Cruz Bikes","Santa Cruz","Delay",1,"Ontario"
636,532,"Mia Delgado","Haro","Children Bicycles","Haro Downtown 16 - 2017",2017,2,"329.99","659.98","0.2","593.982","2017-01-03","2017-01-04","2017-01-05","Mireya Copeland","Fabiola Jackson","Santa Cruz Bikes","Santa Cruz","Delay",1,"Coachella"
637,512,"Hee Greer","Sun Bicycles","Comfort Bicycles","Sun Bicycles Cruz 3 - 2017",2017,2,"449.99","899.98","0.1","854.981","2017-01-03","2017-01-05","2017-01-05","Marcelene Boyer","Jannette David","Baldwin Bikes","Baldwin","On-Time",1,"Selden"
637,512,"Hee Greer","Trek","Electric Bikes","Trek Conduit+ - 2016",2016,1,"2999.99","2999.99","0.1","2699.991","2017-01-03","2017-01-05","2017-01-05","Marcelene Boyer","Jannette David","Baldwin Bikes","Baldwin","On-Time",1,"Selden"
638,1302,"Verda Gilbert","Sun Bicycles","Comfort Bicycles","Sun Bicycles Streamway 3 - 2017",2017,1,"551.99","551.99","0.05","524.3905","2017-01-04","2017-01-05","2017-01-06","Venita Daniel","Jannette David","Baldwin Bikes","Baldwin","Delay",1,"East Northport"
638,1302,"Verda Gilbert","Surly","Road Bikes","Surly Ogre Frameset - 2017",2017,2,"749.99","1499.98","0.05","1462.4805","2017-01-04","2017-01-05","2017-01-06","Venita Daniel","Jannette David","Baldwin Bikes","Baldwin","Delay",1,"East Northport"
638,1302,"Verda Gilbert","Trek","Road Bikes","Trek Domane SLR 6 Disc - 2017",2017,1,"5499.99","5499.99","0.2","4399.992","2017-01-04","2017-01-05","2017-01-06","Venita Daniel","Jannette David","Baldwin Bikes","Baldwin","Delay",1,"East Northport"
639,550,"Felicidad Golden","Electra","Cruisers Bicycles","Electra Moto 1 - 2016",2016,1,"529.99","529.99","0.07","492.8907","2017-01-06","2017-01-07","2017-01-07","Marcelene Boyer","Jannette David","Baldwin Bikes","Baldwin","On-Time",1,"Lockport"
639,550,"Felicidad Golden","Sun Bicycles","Cruisers Bicycles","Sun Bicycles Biscayne Tandem 7 - 2017",2017,1,"619.99","619.99","0.05","588.9905","2017-01-06","2017-01-07","2017-01-07","Marcelene Boyer","Jannette David","Baldwin Bikes","Baldwin","On-Time",1,"Lockport"
639,550,"Felicidad Golden","Sun Bicycles","Cruisers Bicycles","Sun Bicycles Brickell Tandem 7 - 2017",2017,1,"749.99","749.99","0.05","712.4905","2017-01-06","2017-01-07","2017-01-07","Marcelene Boyer","Jannette David","Baldwin Bikes","Baldwin","On-Time",1,"Lockport"
