"order_id","customer_id","customer_name","brand_name","category_name","product_name","model_year","quantity","list_price","revenue","discount","profit","order_date","required_date","shipped_date","sales_name","manager_name","store_name","city"
1,259,"Johnathan Velazquez","Electra","Cruisers Bicycles","Electra Townie Original 7D EQ - 2016",2016,2,"599.99","1199.98","0.05","1169.9805","2016-01-01","2016-01-03","2016-01-03","Mireya Copeland","Fabiola Jackson","Santa Cruz Bikes","Santa Cruz"
1,259,"Johnathan Velazquez","Electra","Cruisers Bicycles","Electra Townie Original 7D EQ - Women's - 2016",2016,1,"599.99","599.99","0.2","479.992","2016-01-01","2016-01-03","2016-01-03","Mireya Copeland","Fabiola Jackson","Santa Cruz Bikes","Santa Cruz"
1,259,"Johnathan Velazquez","Surly","Cyclocross Bicycles","Surly Straggler - 2016",2016,2,"1549.00","3098.00","0.05","3020.5500","2016-01-01","2016-01-03","2016-01-03","Mireya Copeland","Fabiola Jackson","Santa Cruz Bikes","Santa Cruz"
1,259,"Johnathan Velazquez","Trek","Mountain Bikes","Trek Fuel EX 8 29 - 2016",2016,1,"2899.99","2899.99","0.2","2319.992","2016-01-01","2016-01-03","2016-01-03","Mireya Copeland","Fabiola Jackson","Santa Cruz Bikes","Santa Cruz"
1,259,"Johnathan Velazquez","Trek","Mountain Bikes","Trek Remedy 29 Carbon Frameset - 2016",2016,2,"1799.99","3599.98","0.07","3473.9807","2016-01-01","2016-01-03","2016-01-03","Mireya Copeland","Fabiola Jackson","Santa Cruz Bikes","Santa Cruz"
2,1212,"Jaqueline Cummings","Electra","Cruisers Bicycles","Electra Townie Original 7D EQ - 2016",2016,2,"599.99","1199.98","0.05","1169.9805","2016-01-01","2016-01-04","2016-01-03","Marcelene Boyer","Jannette David","Baldwin Bikes","Baldwin"
2,1212,"Jaqueline Cummings","Electra","Cruisers Bicycles","Electra Townie Original 7D EQ - Women's - 2016",2016,1,"599.99","599.99","0.07","557.9907","2016-01-01","2016-01-04","2016-01-03","Marcelene Boyer","Jannette David","Baldwin Bikes","Baldwin"
3,523,"Joshua Robertson","Electra","Cruisers Bicycles","Electra Townie Original 7D EQ - Women's - 2016",2016,1,"599.99","599.99","0.05","569.9905","2016-01-02","2016-01-05","2016-01-03","Venita Daniel","Jannette David","Baldwin Bikes","Baldwin"
3,523,"Joshua Robertson","Surly","Mountain Bikes","Surly Wednesday Frameset - 2016",2016,1,"999.99","999.99","0.05","949.9905","2016-01-02","2016-01-05","2016-01-03","Venita Daniel","Jannette David","Baldwin Bikes","Baldwin"
4,175,"Nova Hess","Ritchey","Mountain Bikes","Ritchey Timberwolf Frameset - 2016",2016,2,"749.99","1499.98","0.1","1424.981","2016-01-03","2016-01-04","2016-01-05","Genna Serrano","Mireya Copeland","Santa Cruz Bikes","Santa Cruz"
